Business Name,Address,City,State,Zip Code,PPP Lender,Total PPP Loan Amount,Total Forgiveness Amount,NAICS Code,Nearest Closing Branch,Nearest Branch Address,Distance to Closing Branch (mi)
MARC S CAMMARATA DDS PC,27900 New Market Rd,Farmington Hills,MI,48334,Comerica Bank,166600.00,167969.82,621210,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",0.06
"PERIODONTAL SPECIALISTS, P.C.",32905 W 12 Mile Rd #300,Farmington Hills,MI,48334,Comerica Bank,136400.00,137801.30,621210,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",0.12
G. W. DAVIS AND COMPANY,27600 Farmington Road; Suite 208,Farmington Hills,MI,48334,Comerica Bank,51600.00,52097.37,541613,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",0.12
JARTLL CORP.,5600 W Maple Rd Ste D417,West Bloomfield,MI,48322,Comerica Bank,1500400.00,1513287.69,621320,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",0.18
FALO BEAUTY INC.,6381 Orchard Lake Rd Ste A,West Bloomfield,MI,48322,Comerica Bank,128100.00,129841.88,812112,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",0.25
FRIEDMAN & ASSOCIATES P.C.,5759 W Maple Rd,West Bloomfield,MI,48322,Comerica Bank,78800.00,79500.44,541211,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",0.26
BUDO LLC,6363 Orchard Lake Rd.,West Bloomfield,MI,48322,Comerica Bank,120100.00,121259.58,611620,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",0.26
LASH RUBIN ORTHODONTICS P.C.,6177 Orchard Lake Rd.  Suite 200,WEST BLOOMFIELD,MI,48322,Comerica Bank,84000.00,84788.67,621210,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",0.33
"MARK WERNER, M.D., P.C.",6900 Orchard Lake Road Suite 205,West Bloomfield,MI,48322,Comerica Bank,68800.00,69669.56,621111,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",0.44
A. PETER EVANGELISTA MD PC,7071 Orchard Lake Rd,West Bloomfield,MI,48322,Comerica Bank,125200.00,126872.52,621498,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",0.46
"KAPLAN MERZLAK, PC",7011 ORCHARD LAKE RD Suite 100,WEST BLOOMFIELD,MI,48322,Comerica Bank,262000.00,263666.61,541211,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",0.5
"MCCABE FUNERAL HOMES, INC",31950 W. 12 Mile Road,FARMINGTON HILLS,MI,48334,Comerica Bank,141600.00,143413.27,812210,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",0.61
"FIRE ROVER, LLC",6960 Orchard Lake Rd,West Bloomfield,MI,48322,Comerica Bank,254000.00,256278.94,333318,MAPLE-ORCHARD LAKE BRANCH,"5680 WEST MAPLE ROAD, WEST BLOOMFIELD, MI 48322",0.67
WEST OAKLAND OBGYN PLLC,34505 W 12 Mile Rd Ste 195,Farmington Hills,MI,48331,Comerica Bank,203100.00,204746.31,621111,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",0.81
ADVOCATES FOR SELF DETERMINATION,28237 Orchard Lake Rd,Farmington Hills,MI,48334,Comerica Bank,273100.00,275395.05,623210,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",0.91
"STRIDENT HEALTHCARE, INC.",28116 Orchard Lake Road. Suite 100,Farmington Hills,MI,48334,Comerica Bank,246600.00,248366.67,621111,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",0.95
ZEDAN DENTAL LABORATORY INC.,27908 Orchard Lake Rd,Farmington Hills,MI,48334,Comerica Bank,358600.00,360550.24,339116,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",0.97
KYYBA INC,28230 Orchard Lake Dr Suite 130,FARMINGTON,MI,48334,Comerica Bank,8001900.00,7431386.16,541511,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",0.98
DESAI DENTAL SPA,"28535 Orchard Lake Road, Suite 400",Farmington Hills,MI,48334,Comerica Bank,179200.00,180703.73,621210,06414 Farmington Hills BC,"33133 W. 12 Mile Road, Farmington Hills, MI 48334",1.0
