"Branch Name","Address","City","State","Zip Code","County","Application Number","Application Type","Action","Action Date","Comment Period End Date","URL"
"BURLINGAME BRANCH","1351 HOWARD AVENUE","BURLINGAME","CA","94010","San Mateo","2026-BranchClosing-345908","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345908&FilingSubtypeID=1007"
"06414 Farmington Hills BC","33133 W. 12 Mile Road","Farmington Hills","MI","48334","Oakland","2026-BranchClosing-345917","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345917&FilingSubtypeID=1007"
"FOURTEEN MILE-HAGGERTY BRANCH","39950 FOURTEEN MILE ROAD","WALLED LAKE","MI","48390","Oakland","2026-BranchClosing-345920","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345920&FilingSubtypeID=1007"
"JACKSON MAIN BRANCH","301 NORTH JACKSON STREET","JACKSON","MI","49201","Jackson","2026-BranchClosing-345922","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345922&FilingSubtypeID=1007"
"MAIN-HURON BRANCH","101 NORTH MAIN STREET","ANN ARBOR","MI","48104","Washtenaw","2026-BranchClosing-345923","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345923&FilingSubtypeID=1007"
"PONTIAC TRAIL-BECK BRANCH","47060 PONTIAC TRAIL","WALLED LAKE","MI","48390","Oakland","2026-BranchClosing-345924","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345924&FilingSubtypeID=1007"
"THIRTEEN MILE-VAN DYKE BRANCH","30500 VAN DYKE AVENUE","WARREN","MI","48093","Macomb","2026-BranchClosing-345925","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345925&FilingSubtypeID=1007"
"WASHTENAW-HURON PARKWAY BRANCH","3305 WASHTENAW AVENUE","ANN ARBOR","MI","48104","Washtenaw","2026-BranchClosing-345926","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345926&FilingSubtypeID=1007"
"WOODWARD-MARGARET BRANCH","18222 WOODWARD AVENUE","HIGHLAND PARK","MI","48203","Wayne","2026-BranchClosing-345927","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345927&FilingSubtypeID=1007"
"CAMPAU SQUARE BRANCH","99 MONROE AVENUE NORTHWEST","GRAND RAPIDS","MI","49503","Kent","2026-BranchClosing-345928","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345928&FilingSubtypeID=1007"
"FORD-SHELDON BRANCH","44880 FORD ROAD","CANTON","MI","48187","Wayne","2026-BranchClosing-345929","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345929&FilingSubtypeID=1007"
"05144 Haggerty and Pontiac Trail BC","4747 Haggerty Road","West Bloomfield","MI","48323","Oakland","2026-BranchClosing-345956","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345956&FilingSubtypeID=1007"
"M59-OAKLAND AIRPORT BRANCH","7070 HIGHLAND ROAD","WATERFORD","MI","48327","Oakland","2026-BranchClosing-345958","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345958&FilingSubtypeID=1007"
"PALM BEACH GARDENS BRANCH","2401 PGA BOULEVARD, SUITE 198","PALM BEACH GARDENS","FL","33410","Palm Beach","2026-BranchClosing-345959","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345959&FilingSubtypeID=1007"
"ROYAL OAK","323 SOUTH MAIN STREET","ROYAL OAK","MI","48067","Oakland","2026-BranchClosing-345960","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345960&FilingSubtypeID=1007"
"01207 Troy Bishop BC","3754 Rochester Road","Troy","MI","48083","Oakland","2026-BranchClosing-345962","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345962&FilingSubtypeID=1007"
"WOODLAND MALL BRANCH","3215 28TH STREET SOUTHEAST","GRAND RAPIDS","MI","49512","Kent","2026-BranchClosing-345963","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=345963&FilingSubtypeID=1007"
"MACK-BRYS BRANCH","21303 MACK AVENUE","GROSSE POINTE","MI","48236","Wayne","2026-BranchClosing-346046","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346046&FilingSubtypeID=1007"
"JOY-BEECH DALY BRANCH","25851 JOY ROAD","DEARBORN HEIGHTS","MI","48127","Wayne","2026-BranchClosing-346047","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346047&FilingSubtypeID=1007"
"LAUREL PARK-SIX MILE BRANCH","17111 NORTH LAUREL PARK DRIVE","LIVONIA","MI","48152","Wayne","2026-BranchClosing-346048","Branch Closings","Receipt","2026-05-26","","https://apps.occ.gov/CAS/home/details?FilingTypeID=14&FilingID=346048&FilingSubtypeID=1007"
